CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME
CHEMBL235674	399306	CHEMBL235674	399306		4	458.53	3.54	134.57	0	Nc1ccc(cc1NC(=O)c2ccc(CNC(=O)OCc3cccnc3)cc2)c4cccs4	1998273	IC50	=	100	nM	7			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	451041	CHEMBL900122	B	Inhibition of human recombinant HDAC2	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein	Hist_deacetyl	medium	37159	CHEMBL1138236	17941625	J. Med. Chem.	2007	50	23	5543			
CHEMBL98	11305	CHEMBL98	11305	VORINOSTAT	1, vorinostat	264.32	2.01	78.43	0	ONC(=O)CCCCCCC(=O)Nc1ccccc1	2161808	IC50	=	82	nM	7.09			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	476820	CHEMBL932445	B	Inhibition of HDAC2	1	Scientific Literature				Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	8	Homologous protein			39330	CHEMBL1144784	18370373	J. Med. Chem.	2008	51	8	2350			
CHEMBL406927	429752	CHEMBL406927	429752		18	495.01	5.11	99.87	1	COc1ccc2[nH]c(C)c(CC(=O)N[C@@H](CCCCCC(=O)C)c3nc4ccc(Cl)cc4[nH]3)c2c1	2161828	IC50	=	880	nM	6.06			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	476820	CHEMBL932445	B	Inhibition of HDAC2	1	Scientific Literature				Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	8	Homologous protein			39330	CHEMBL1144784	18370373	J. Med. Chem.	2008	51	8	2350			
CHEMBL27759	36237	CHEMBL27759	36237	ENTINOSTAT	3, MS-275, SNDX-275	376.41	2.07	106.33	0	Nc1ccccc1NC(=O)c2ccc(CNC(=O)OCc3cccnc3)cc2	2623810	IC50	=	250	nM	6.6			1	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	522846	CHEMBL1002514	B	Inhibition of human C-terminal FLAG-tagged HDAC2 in HEK293 cells	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein	Hist_deacetyl	medium	46750	CHEMBL1136937	19441846	J. Med. Chem.	2009	52	11	3453	722	CHEMBL3307715	HEK293
CHEMBL1096982	627085	CHEMBL1096982	627085		3	599.68	2.53	160.69	1	OC(=O)CC\C=C/C[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](Cc4c[nH]c5ccccc45)NC1=O	3290060	IC50	=	11400	nM	4.94			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	629198	CHEMBL1121312	B	Inhibition of full length HDAC2 expressed in HEK293 cells after 15 mins by fluorescence assay	1	Scientific Literature				Autocuration	BAO_0000219	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	8	Homologous protein			51141	CHEMBL1158553	20381359	Bioorg. Med. Chem.	2010	18	9	3252	722	CHEMBL3307715	HEK293
CHEMBL27759	36237	CHEMBL27759	36237	ENTINOSTAT	4, MS-275	376.41	2.07	106.33	0	Nc1ccccc1NC(=O)c2ccc(CNC(=O)OCc3cccnc3)cc2	3480811	IC50	=	500	nM	6.3			1	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	672869	CHEMBL1267844	B	Inhibition of HDAC2 by in vitro deacetylation assay	1	Scientific Literature				Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	8	Homologous protein			53324	CHEMBL1255383	19966789	Nat. Chem. Biol.	2010	6	1	25			
CHEMBL3356939	1821082	CHEMBL3356939	1821082		85, ST7900	417.56	2.33	117.31	0	SCCCCC[C@H](NC(=O)[C@@H]1CCCC(=O)N1)C(=O)N2CCc3ccccc3C2	15067444	Inhibition					Not Active		0	BAO_0000376			1443008	CHEMBL3379486	B	Inhibition of HDAC2 (unknown origin) using fluorogenic tetrapeptide RHKK(Ac) substrate at <50 uM by fluorescence assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein			89379	CHEMBL3352570	25233084	J. Med. Chem.	2014	57	20	8358			
CHEMBL3356938	1821081	CHEMBL3356938	1821081		16, ST7817	277.42	3.48	59.11	0	SCCCCCCC(=O)N1CCc2ccccc2C1	15067445	Inhibition					Not Active		0	BAO_0000376			1443008	CHEMBL3379486	B	Inhibition of HDAC2 (unknown origin) using fluorogenic tetrapeptide RHKK(Ac) substrate at <50 uM by fluorescence assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein			89379	CHEMBL3352570	25233084	J. Med. Chem.	2014	57	20	8358			
CHEMBL3338417	1792917	CHEMBL3338417	1792917		31	361.4	2.66	100.03	0	ONC(=O)c1ccc2CC[C@@H](Cc2c1)Nc3nccc(n3)c4cccnc4	15077079	IC50					Not Determined		0	BAO_0000190			1433099	CHEMBL3386356	B	Inhibition of HDAC2 (unknown origin) using fluorogenic peptide as substrate by fluorescence assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein			89385	CHEMBL3351740	25238284	J. Med. Chem.	2014	57	19	8026			
CHEMBL3338418	1792918	CHEMBL3338418	1792918		32	361.4	2.66	100.03	0	ONC(=O)c1ccc2CC[C@H](Cc2c1)Nc3nccc(n3)c4cccnc4	15077080	IC50	>	100000	nM				0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1433099	CHEMBL3386356	B	Inhibition of HDAC2 (unknown origin) using fluorogenic peptide as substrate by fluorescence assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11206	CHEMBL1937	SINGLE PROTEIN	Q92769	Histone deacetylase 2	Homo sapiens	9	Protein			89385	CHEMBL3351740	25238284	J. Med. Chem.	2014	57	19	8026			
